generated_at,2025-04-30 23:12:48 UTC

day_id,day_start_at,match_id,match_start_at,battle_id,battle_map_id,battle_map_name,battle_start_at,battle_duration,battle_winning_side,battle_game_finish_reason,battle_is_overtime,team_id,team_name,enemy_team_id,enemy_team_name,player_id,player_name,player_account_id,tank_id,tank_name,side,kills,damage,spotting_assisted,tracking_assisted,damaged_tanks,capture_points,defense_points,distance_traveled,tanks_spotted,potential_damage_received,shots_fired,shots_hit,shots_pened,damage_received,calculated_score,death_reason,killed_by_id,sniper_damage,team_damage,team_hits,team_kills,remaining_health,damage_blocked_by_armor,he_hits_taken,pens_taken,total_hits_taken,no_damage_hits_taken,lifetime
359,2023-03-31 08:00:00 UTC,1125,2023-03-31 08:00:00 UTC,5759,11,Murovanka,2023-03-31 08:15:00 UTC,163,2,1,false,244,South Sydney Skorpions,241,Melbourne Matildas,1970,JT,2037617601,15697,Super Conqueror,1,0,3141,0,0,3,0,92,804,1,2940,12,11,8,2700,57.4226,0,2037617659,0,0,0,0,0,0,0,6,6,0,156
359,2023-03-31 08:00:00 UTC,1125,2023-03-31 08:00:00 UTC,5759,11,Murovanka,2023-03-31 08:15:00 UTC,163,2,1,false,244,South Sydney Skorpions,241,Melbourne Matildas,1971,Night,2037617602,7169,IS-7,1,2,1609,0,0,2,0,16,1090,0,3490,6,5,4,2700,41.9818,0,2037617645,133,0,0,0,0,760,0,7,10,3,133
359,2023-03-31 08:00:00 UTC,1125,2023-03-31 08:00:00 UTC,5759,11,Murovanka,2023-03-31 08:15:00 UTC,163,2,1,false,244,South Sydney Skorpions,241,Melbourne Matildas,1973,Auzzi,2037617605,5265,CS-63,1,0,1666,320,500,2,0,3,1075,1,2320,5,3,3,2250,43.3431,0,2037617582,0,0,0,0,0,0,0,6,6,0,92
359,2023-03-31 08:00:00 UTC,1125,2023-03-31 08:00:00 UTC,5759,11,Murovanka,2023-03-31 08:15:00 UTC,163,2,1,false,244,South Sydney Skorpions,241,Melbourne Matildas,1974,Russian,2037617606,15697,Super Conqueror,1,1,2158,0,0,2,0,0,849,1,3440,7,6,5,2700,44.4371,0,2037617658,0,0,0,0,0,400,0,7,8,1,157
359,2023-03-31 08:00:00 UTC,1125,2023-03-31 08:00:00 UTC,5759,11,Murovanka,2023-03-31 08:15:00 UTC,163,2,1,false,244,South Sydney Skorpions,241,Melbourne Matildas,1976,Benny,2037617607,7169,IS-7,1,0,2015,320,0,3,0,35,819,2,4240,5,4,4,2700,44.7278,0,2037617645,0,0,0,0,0,1380,0,7,10,3,116
359,2023-03-31 08:00:00 UTC,1125,2023-03-31 08:00:00 UTC,5759,11,Murovanka,2023-03-31 08:15:00 UTC,163,2,1,false,241,Melbourne Matildas,244,South Sydney Skorpions,1951,Magic_Shells,2037617645,3681,STB-1,2,2,3887,0,0,4,0,0,1278,0,2490,15,13,12,2250,108.3406,0,2037617606,341,0,0,0,-3,400,0,5,6,1,157
359,2023-03-31 08:00:00 UTC,1125,2023-03-31 08:00:00 UTC,5759,11,Murovanka,2023-03-31 08:15:00 UTC,163,2,1,false,241,Melbourne Matildas,244,South Sydney Skorpions,1952,Joeattora,2037617582,15697,Super Conqueror,2,1,1932,593,0,2,0,0,591,3,2740,5,5,5,2700,53.9033,0,2037617602,0,0,0,0,0,0,0,6,6,0,112
359,2023-03-31 08:00:00 UTC,1125,2023-03-31 08:00:00 UTC,5759,11,Murovanka,2023-03-31 08:15:00 UTC,163,2,1,false,241,Melbourne Matildas,244,South Sydney Skorpions,1950,Whippet,2037617586,15697,Super Conqueror,2,0,1205,183,0,2,0,0,761,0,3380,7,6,3,2700,14.7057,0,2037617602,0,0,0,0,0,400,1,7,9,1,132
359,2023-03-31 08:00:00 UTC,1125,2023-03-31 08:00:00 UTC,5759,11,Murovanka,2023-03-31 08:15:00 UTC,163,2,1,false,241,Melbourne Matildas,244,South Sydney Skorpions,1949,Bolagnaise,2037617658,7169,IS-7,2,1,2786,0,349,3,0,0,1219,2,880,8,8,6,1416,57.7116,-1,,0,0,0,0,1314,0,0,2,2,0,162
359,2023-03-31 08:00:00 UTC,1125,2023-03-31 08:00:00 UTC,5759,11,Murovanka,2023-03-31 08:15:00 UTC,163,2,1,false,241,Melbourne Matildas,244,South Sydney Skorpions,1953,RavioliAldente,2037617659,7169,IS-7,2,1,3240,183,0,2,9,0,871,0,2400,8,8,7,1523,71.6145,-1,,0,0,0,0,1207,800,0,4,6,2,162
