generated_at,2025-04-30 23:24:59 UTC

day_id,day_start_at,match_id,match_start_at,battle_id,battle_map_id,battle_map_name,battle_start_at,battle_duration,battle_winning_side,battle_game_finish_reason,battle_is_overtime,team_id,team_name,enemy_team_id,enemy_team_name,player_id,player_name,player_account_id,tank_id,tank_name,side,kills,damage,spotting_assisted,tracking_assisted,damaged_tanks,capture_points,defense_points,distance_traveled,tanks_spotted,potential_damage_received,shots_fired,shots_hit,shots_pened,damage_received,calculated_score,death_reason,killed_by_id,sniper_damage,team_damage,team_hits,team_kills,remaining_health,damage_blocked_by_armor,he_hits_taken,pens_taken,total_hits_taken,no_damage_hits_taken,lifetime
304,2022-09-30 12:00:00 UTC,982,2022-09-30 12:00:00 UTC,5076,11,Murovanka,2022-09-30 12:10:00 UTC,253,2,1,false,220,Chubu Thunderbirds,218,Tokyo Crows,1796,narasinov,2038685090,16961,AMX M4 mle. 54,2,0,2298,136,0,3,0,0,1302,1,2770,8,5,4,2720,40.8783,0,2038685048,625,0,0,0,0,0,0,7,7,0,240
304,2022-09-30 12:00:00 UTC,982,2022-09-30 12:00:00 UTC,5076,11,Murovanka,2022-09-30 12:10:00 UTC,253,2,1,false,220,Chubu Thunderbirds,218,Tokyo Crows,1794,aniki,2038685092,3649,Bat.-Châtillon 25 t,2,1,1370,0,0,2,0,0,2080,1,400,6,5,4,445,35.2596,-1,,0,0,0,0,1535,0,0,1,1,0,253
304,2022-09-30 12:00:00 UTC,982,2022-09-30 12:00:00 UTC,5076,11,Murovanka,2022-09-30 12:10:00 UTC,253,2,1,false,220,Chubu Thunderbirds,218,Tokyo Crows,1791,Meru,2038685062,7169,IS-7,2,2,1016,136,0,3,0,0,1654,1,1420,7,6,4,1035,31.1954,-1,,503,0,0,0,1745,490,1,2,4,1,253
304,2022-09-30 12:00:00 UTC,982,2022-09-30 12:00:00 UTC,5076,11,Murovanka,2022-09-30 12:10:00 UTC,253,2,1,false,220,Chubu Thunderbirds,218,Tokyo Crows,1793,Leaf,2038685066,15697,Super Conqueror,2,1,3258,0,0,4,0,0,973,2,2970,10,8,8,2578,78.5511,-1,,435,0,0,0,142,490,1,7,9,1,253
304,2022-09-30 12:00:00 UTC,982,2022-09-30 12:00:00 UTC,5076,11,Murovanka,2022-09-30 12:10:00 UTC,253,2,1,false,220,Chubu Thunderbirds,218,Tokyo Crows,1792,sigataku,2038685068,15697,Super Conqueror,2,1,3608,136,0,4,0,0,1315,0,2550,14,11,9,1665,81.4467,-1,,881,0,0,0,1055,880,0,4,7,3,253
304,2022-09-30 12:00:00 UTC,982,2022-09-30 12:00:00 UTC,5076,11,Murovanka,2022-09-30 12:10:00 UTC,253,2,1,false,218,Tokyo Crows,220,Chubu Thunderbirds,1777,moudame,2038685047,7169,IS-7,1,0,2057,0,0,4,0,66,1396,0,3630,10,8,4,2780,26.8042,0,2038685062,61,0,0,0,0,490,0,7,9,2,242
304,2022-09-30 12:00:00 UTC,982,2022-09-30 12:00:00 UTC,5076,11,Murovanka,2022-09-30 12:10:00 UTC,253,2,1,false,218,Tokyo Crows,220,Chubu Thunderbirds,1778,miz_Anet,2038685048,19201,T-100 LT,1,1,1781,221,0,2,0,7,3091,1,1600,10,6,6,1580,52.6754,0,2038685066,571,0,0,0,0,0,0,4,4,0,248
304,2022-09-30 12:00:00 UTC,982,2022-09-30 12:00:00 UTC,5076,11,Murovanka,2022-09-30 12:10:00 UTC,253,2,1,false,218,Tokyo Crows,220,Chubu Thunderbirds,1779,BMRzekeshiki,2038685051,5281,Controcarro 3 Minotauro,1,0,647,309,0,3,0,0,813,3,4060,2,2,1,2270,18.7142,0,2038685062,0,0,0,0,0,1280,0,6,9,3,152
304,2022-09-30 12:00:00 UTC,982,2022-09-30 12:00:00 UTC,5076,11,Murovanka,2022-09-30 12:10:00 UTC,253,2,1,false,218,Tokyo Crows,220,Chubu Thunderbirds,1780,mako_koma,2038685052,5265,CS-63,1,0,1603,160,781,3,0,0,1627,0,2160,7,6,4,2200,29.593,0,2038685068,803,0,0,0,0,0,0,5,5,0,230
304,2022-09-30 12:00:00 UTC,982,2022-09-30 12:00:00 UTC,5076,11,Murovanka,2022-09-30 12:10:00 UTC,253,2,1,false,218,Tokyo Crows,220,Chubu Thunderbirds,1783,Kick_it_Out,2038685086,15697,Super Conqueror,1,0,2355,160,0,5,0,0,730,1,2880,11,6,6,2720,47.9628,0,2038685092,357,0,0,0,0,0,1,7,8,0,199
304,2022-09-30 12:00:00 UTC,982,2022-09-30 12:00:00 UTC,5077,11,Murovanka,2022-09-30 12:17:55 UTC,437,2,1,false,220,Chubu Thunderbirds,218,Tokyo Crows,1796,narasinov,2038685090,5265,CS-63,1,0,1229,0,0,2,0,0,3426,0,2540,11,4,3,2200,20.2078,0,2038685052,826,0,0,0,-13,560,0,4,5,1,395
304,2022-09-30 12:00:00 UTC,982,2022-09-30 12:00:00 UTC,5077,11,Murovanka,2022-09-30 12:17:55 UTC,437,2,1,false,220,Chubu Thunderbirds,218,Tokyo Crows,1794,aniki,2038685092,3649,Bat.-Châtillon 25 t,1,0,1165,210,0,1,0,0,4239,2,2250,8,4,3,1980,28.1915,0,2038685052,354,0,0,0,0,0,0,5,5,0,420
304,2022-09-30 12:00:00 UTC,982,2022-09-30 12:00:00 UTC,5077,11,Murovanka,2022-09-30 12:17:55 UTC,437,2,1,false,220,Chubu Thunderbirds,218,Tokyo Crows,1791,Meru,2038685062,15697,Super Conqueror,1,0,1686,0,0,2,0,13,1784,1,3140,12,6,4,2720,29.232,0,2038685086,0,0,0,0,0,530,0,5,6,1,432
304,2022-09-30 12:00:00 UTC,982,2022-09-30 12:00:00 UTC,5077,11,Murovanka,2022-09-30 12:17:55 UTC,437,2,1,false,220,Chubu Thunderbirds,218,Tokyo Crows,1793,Leaf,2038685066,9489,E 100,1,0,1053,406,0,1,0,0,517,2,3730,11,2,2,3120,21.2465,0,2038685047,0,0,0,0,0,0,0,8,8,0,319
304,2022-09-30 12:00:00 UTC,982,2022-09-30 12:00:00 UTC,5077,11,Murovanka,2022-09-30 12:17:55 UTC,437,2,1,false,220,Chubu Thunderbirds,218,Tokyo Crows,1792,sigataku,2038685068,15697,Super Conqueror,1,1,1508,564,0,3,0,28,1223,0,2860,13,7,4,2720,28.763,2,2038685086,0,0,0,0,-2,0,0,7,7,0,417
