generated_at,2025-04-30 23:49:56 UTC

day_id,day_start_at,match_id,match_start_at,battle_id,battle_map_id,battle_map_name,battle_start_at,battle_duration,battle_winning_side,battle_game_finish_reason,battle_is_overtime,team_id,team_name,enemy_team_id,enemy_team_name,player_id,player_name,player_account_id,tank_id,tank_name,side,kills,damage,spotting_assisted,tracking_assisted,damaged_tanks,capture_points,defense_points,distance_traveled,tanks_spotted,potential_damage_received,shots_fired,shots_hit,shots_pened,damage_received,calculated_score,death_reason,killed_by_id,sniper_damage,team_damage,team_hits,team_kills,remaining_health,damage_blocked_by_armor,he_hits_taken,pens_taken,total_hits_taken,no_damage_hits_taken,lifetime
48,2017-09-06 00:30:00 UTC,175,2017-09-06 00:30:00 UTC,1243,4,Himmelsdorf,2017-09-06 00:44:21 UTC,331,2,2,false,46,Elevate,59,Teal Team 6,424,Wallhacks,1027619328,6193,WZ-111 model 5A,2,0,413,130,0,1,0,0,978,0,750,3,2,1,773,2.7699,-1,,413,0,0,0,1427,0,0,1,1,0,331
48,2017-09-06 00:30:00 UTC,175,2017-09-06 00:30:00 UTC,1243,4,Himmelsdorf,2017-09-06 00:44:21 UTC,331,2,2,false,46,Elevate,59,Teal Team 6,426,vetro,1027619329,6209,AMX 50 B,2,0,730,0,1506,2,0,0,1764,0,890,2,2,2,883,22.7204,-1,,0,0,0,0,1217,0,0,2,2,0,331
48,2017-09-06 00:30:00 UTC,175,2017-09-06 00:30:00 UTC,1243,4,Himmelsdorf,2017-09-06 00:44:21 UTC,331,2,2,false,59,Teal Team 6,46,Elevate,548,Vyraall,1027619400,6145,IS-4,1,0,0,0,0,1,0,0,911,1,1780,6,3,0,2217,0.5796,-1,,0,0,0,0,283,0,0,6,6,0,331
48,2017-09-06 00:30:00 UTC,175,2017-09-06 00:30:00 UTC,1243,4,Himmelsdorf,2017-09-06 00:44:21 UTC,331,2,2,false,46,Elevate,59,Teal Team 6,422,Dodoma,1027619324,6929,Maus,2,0,1205,130,0,2,100,0,1063,1,490,4,3,3,476,20.456,-1,,221,0,0,0,2524,0,0,1,4,3,331
48,2017-09-06 00:30:00 UTC,175,2017-09-06 00:30:00 UTC,1243,4,Himmelsdorf,2017-09-06 00:44:21 UTC,331,2,2,false,46,Elevate,59,Teal Team 6,420,canadianimpact,1027619325,6209,AMX 50 B,2,0,1202,0,0,2,0,0,1452,0,0,12,4,3,0,15.2678,-1,,1202,0,0,0,2100,0,0,0,0,0,331
48,2017-09-06 00:30:00 UTC,175,2017-09-06 00:30:00 UTC,1243,4,Himmelsdorf,2017-09-06 00:44:21 UTC,331,2,2,false,46,Elevate,59,Teal Team 6,419,External007,1027619322,7169,IS-7,2,0,1612,1539,0,3,0,0,778,5,490,9,4,4,0,38.2536,-1,,1612,0,0,0,2400,490,3,0,1,1,331
48,2017-09-06 00:30:00 UTC,175,2017-09-06 00:30:00 UTC,1243,4,Himmelsdorf,2017-09-06 00:44:21 UTC,331,2,2,false,59,Teal Team 6,46,Elevate,541,SuperNova,1027619382,5425,113,1,0,861,0,0,1,0,0,1806,1,0,6,2,2,0,15.7682,-1,,0,0,0,0,2300,0,0,0,0,0,331
48,2017-09-06 00:30:00 UTC,175,2017-09-06 00:30:00 UTC,1243,4,Himmelsdorf,2017-09-06 00:44:21 UTC,331,2,2,false,46,Elevate,59,Teal Team 6,423,AnimeLordBrett,1027619327,6193,WZ-111 model 5A,2,0,1019,130,0,2,0,0,2077,0,2130,6,3,2,1707,14.1359,-1,,493,0,0,0,493,490,0,3,4,1,331
48,2017-09-06 00:30:00 UTC,175,2017-09-06 00:30:00 UTC,1243,4,Himmelsdorf,2017-09-06 00:44:21 UTC,331,2,2,false,59,Teal Team 6,46,Elevate,543,bloop_,1027619385,6929,Maus,1,0,1415,0,0,3,0,0,758,1,490,7,4,3,0,17.6118,-1,,1415,0,0,0,3000,490,0,0,1,1,331
48,2017-09-06 00:30:00 UTC,175,2017-09-06 00:30:00 UTC,1243,4,Himmelsdorf,2017-09-06 00:44:21 UTC,331,2,2,false,59,Teal Team 6,46,Elevate,544,mt_goat_1985,1027619386,13857,T110E3,1,0,886,0,442,1,0,0,681,1,980,1,1,1,938,11.8438,-1,,886,0,0,0,1112,0,0,2,2,0,331
