generated_at,2025-04-30 23:53:20 UTC

day_id,day_start_at,match_id,match_start_at,battle_id,battle_map_id,battle_map_name,battle_start_at,battle_duration,battle_winning_side,battle_game_finish_reason,battle_is_overtime,team_id,team_name,enemy_team_id,enemy_team_name,player_id,player_name,player_account_id,tank_id,tank_name,side,kills,damage,spotting_assisted,tracking_assisted,damaged_tanks,capture_points,defense_points,distance_traveled,tanks_spotted,potential_damage_received,shots_fired,shots_hit,shots_pened,damage_received,calculated_score,death_reason,killed_by_id,sniper_damage,team_damage,team_hits,team_kills,remaining_health,damage_blocked_by_armor,he_hits_taken,pens_taken,total_hits_taken,no_damage_hits_taken,lifetime
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,574,5,Prokhorovka,2017-01-11 01:37:20 UTC,211,1,1,false,23,Valence,16,Elevate,215,LZ_Schneider,1024212933,16161,M53/M55,2,0,140,0,0,1,0,0,345,0,630,2,0,0,450,4.2789,0,1024212878,140,0,0,0,-3,0,0,2,2,0,146
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,574,5,Prokhorovka,2017-01-11 01:37:20 UTC,211,1,1,false,23,Valence,16,Elevate,207,Lost,1024212936,3649,Bat.-Châtillon 25 t,2,2,1390,447,0,3,0,0,972,1,1980,7,5,4,1800,34.9561,0,1024212883,0,0,0,0,0,0,0,6,7,1,182
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,574,5,Prokhorovka,2017-01-11 01:37:20 UTC,211,1,1,false,23,Valence,16,Elevate,211,Statik,1024212937,11521,T-10,2,0,913,0,0,1,0,0,688,1,2190,3,2,2,1800,20.7321,0,1024212880,0,0,0,0,0,0,0,6,6,0,112
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,574,5,Prokhorovka,2017-01-11 01:37:20 UTC,211,1,1,false,23,Valence,16,Elevate,208,GeeForcer,1024212938,5425,113,2,0,1364,1053,0,3,0,0,1211,0,3150,5,3,3,2300,35.1163,0,1024212883,0,0,0,0,0,780,0,6,8,2,206
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,574,5,Prokhorovka,2017-01-11 01:37:20 UTC,211,1,1,false,23,Valence,16,Elevate,210,Sp00ky,1024212940,19217,Grille 15,2,0,689,0,0,1,0,0,909,0,2150,3,2,1,1800,16.0586,0,1024212880,0,0,0,0,-3,0,0,6,6,0,191
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,574,5,Prokhorovka,2017-01-11 01:37:20 UTC,211,1,1,false,23,Valence,16,Elevate,216,zonedelta94,1024212941,3649,Bat.-Châtillon 25 t,2,0,777,0,0,1,0,0,2058,2,2380,2,2,2,1800,26.1543,0,1024212879,0,0,0,0,0,390,0,5,6,1,178
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,574,5,Prokhorovka,2017-01-11 01:37:20 UTC,211,1,1,false,16,Elevate,23,Valence,159,External007,1024212878,3649,Bat.-Châtillon 25 t,1,1,2157,1360,0,3,0,0,1487,2,1710,7,7,6,1800,54.5742,0,1024212936,205,0,0,0,0,0,1,4,4,0,177
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,574,5,Prokhorovka,2017-01-11 01:37:20 UTC,211,1,1,false,16,Elevate,23,Valence,160,canadianimpact,1024212879,4737,Strv 103B,1,1,917,0,0,2,0,0,879,0,0,6,4,3,0,18.4763,-1,,917,0,0,0,1800,0,0,0,0,0,211
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,574,5,Prokhorovka,2017-01-11 01:37:20 UTC,211,1,1,false,16,Elevate,23,Valence,161,Dodoma,1024212880,3649,Bat.-Châtillon 25 t,1,2,2469,1233,689,3,0,0,1350,1,1140,10,10,8,1048,71.4873,-1,,0,0,0,0,752,0,0,2,2,0,211
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,574,5,Prokhorovka,2017-01-11 01:37:20 UTC,211,1,1,false,16,Elevate,23,Valence,163,Nitts,1024212882,7169,IS-7,1,0,896,0,0,2,0,0,930,0,0,6,2,2,0,14.8067,-1,,425,0,0,0,2150,0,0,0,0,0,211
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,574,5,Prokhorovka,2017-01-11 01:37:20 UTC,211,1,1,false,16,Elevate,23,Valence,164,GodEmperorBrett,1024212883,2417,TVP T 50/51,1,3,2447,0,583,4,0,0,1269,0,440,12,9,9,448,61.608,-1,,335,0,0,0,1352,0,0,1,1,0,211
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,574,5,Prokhorovka,2017-01-11 01:37:20 UTC,211,1,1,false,16,Elevate,23,Valence,165,Wallhacks,1024212884,18449,Spähpanzer Ru 251,1,0,1242,630,0,5,0,0,1626,3,1220,6,5,5,1200,40.7087,0,1024212936,508,0,0,0,0,0,0,3,3,0,137
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,574,5,Prokhorovka,2017-01-11 01:37:20 UTC,211,1,1,false,16,Elevate,23,Valence,166,Oxmathus,1024212885,2433,Kranvagn,1,0,1622,178,0,1,0,0,1202,1,1920,6,4,4,777,47.0875,-1,,0,0,0,0,1223,1140,0,2,4,2,211
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,574,5,Prokhorovka,2017-01-11 01:37:20 UTC,211,1,1,false,23,Valence,16,Elevate,213,Vyraall,1024212942,3649,Bat.-Châtillon 25 t,2,0,0,0,0,0,0,0,546,2,1980,0,0,0,1800,3.092,0,1024212883,0,0,0,0,0,0,0,6,6,0,46
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,575,5,Prokhorovka,2017-01-11 01:44:17 UTC,507,1,1,false,23,Valence,16,Elevate,215,LZ_Schneider,1024212933,7457,M40/M43,1,1,1514,0,0,3,0,32,438,0,0,6,1,1,0,43.5793,-1,,1514,0,0,0,400,0,0,0,0,0,506
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,575,5,Prokhorovka,2017-01-11 01:44:17 UTC,507,1,1,false,23,Valence,16,Elevate,207,Lost,1024212936,3649,Bat.-Châtillon 25 t,1,0,2241,605,171,3,0,0,2229,0,2070,9,7,6,1800,44.3788,0,1024212883,0,0,0,0,0,0,0,5,5,0,489
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,575,5,Prokhorovka,2017-01-11 01:44:17 UTC,507,1,1,false,23,Valence,16,Elevate,211,Statik,1024212937,17153,Object 430B,1,1,2690,1366,0,5,0,61,2002,4,3160,20,12,9,2000,108.374,1,1024212884,590,0,0,0,-3,1120,0,6,9,3,326
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,575,5,Prokhorovka,2017-01-11 01:44:17 UTC,507,1,1,false,23,Valence,16,Elevate,208,GeeForcer,1024212938,7169,IS-7,1,0,1036,978,0,2,0,55,2152,1,1950,11,3,2,1110,85.1292,-1,,0,0,0,0,1040,780,0,3,6,3,506
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,575,5,Prokhorovka,2017-01-11 01:44:17 UTC,507,1,1,false,23,Valence,16,Elevate,210,Sp00ky,1024212940,3649,Bat.-Châtillon 25 t,1,4,3709,165,0,6,0,7,1612,0,1810,11,11,11,1800,68.9034,0,1024212883,0,0,0,0,0,0,0,5,5,0,333
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,575,5,Prokhorovka,2017-01-11 01:44:17 UTC,507,1,1,false,23,Valence,16,Elevate,216,zonedelta94,1024212941,2433,Kranvagn,1,0,421,292,0,1,0,0,1364,2,2340,9,2,1,2000,16.6148,0,1024212879,0,0,0,0,0,0,0,6,6,0,239
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,575,5,Prokhorovka,2017-01-11 01:44:17 UTC,507,1,1,false,16,Elevate,23,Valence,159,External007,1024212878,3649,Bat.-Châtillon 25 t,2,0,733,199,0,1,0,0,978,1,3090,2,2,2,1800,25.1688,0,1024212942,0,0,0,0,0,1030,0,6,9,3,228
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,575,5,Prokhorovka,2017-01-11 01:44:17 UTC,507,1,1,false,16,Elevate,23,Valence,160,canadianimpact,1024212879,3649,Bat.-Châtillon 25 t,2,1,2307,0,0,3,0,0,2456,0,1430,11,10,7,1800,40.2731,0,1024212940,0,0,0,0,0,0,0,5,6,1,328
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,575,5,Prokhorovka,2017-01-11 01:44:17 UTC,507,1,1,false,16,Elevate,23,Valence,161,Dodoma,1024212880,3649,Bat.-Châtillon 25 t,2,1,1790,392,0,3,0,0,2029,3,2200,9,6,5,1800,39.7502,0,1024212940,790,0,0,0,0,0,0,6,6,0,289
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,575,5,Prokhorovka,2017-01-11 01:44:17 UTC,507,1,1,false,16,Elevate,23,Valence,163,Nitts,1024212882,7169,IS-7,2,0,535,1385,0,1,0,0,1437,2,1560,2,2,1,2150,34.0897,0,1024212940,0,0,0,0,0,0,1,4,5,1,235
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,575,5,Prokhorovka,2017-01-11 01:44:17 UTC,507,1,1,false,16,Elevate,23,Valence,164,GodEmperorBrett,1024212883,3649,Bat.-Châtillon 25 t,2,2,2374,0,0,5,0,0,4382,0,2080,11,8,7,1800,47.1033,0,1024212933,1185,0,0,0,0,490,1,4,6,2,501
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,575,5,Prokhorovka,2017-01-11 01:44:17 UTC,507,1,1,false,16,Elevate,23,Valence,165,Wallhacks,1024212884,18449,Spähpanzer Ru 251,2,1,777,0,0,2,0,0,2864,0,1200,4,4,3,1200,28.593,0,1024212940,198,0,0,0,0,0,0,3,3,0,331
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,575,5,Prokhorovka,2017-01-11 01:44:17 UTC,507,1,1,false,16,Elevate,23,Valence,166,Oxmathus,1024212885,2433,Kranvagn,2,0,1994,0,0,3,0,0,1079,0,2450,8,6,5,2000,30.9373,0,1024212937,0,0,1,0,0,320,0,6,7,1,281
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,575,5,Prokhorovka,2017-01-11 01:44:17 UTC,507,1,1,false,23,Valence,16,Elevate,213,Vyraall,1024212942,2417,TVP T 50/51,1,1,939,459,988,3,0,0,1151,0,2360,6,6,4,1800,35.867,0,1024212880,0,0,0,0,0,390,0,5,6,1,272
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,576,4,Himmelsdorf,2017-01-11 01:57:07 UTC,428,1,1,false,23,Valence,16,Elevate,209,Ertai,1024212935,5697,Bat.-Châtillon 25 t AP,2,1,1488,0,0,2,0,0,3960,1,1580,6,6,5,1600,38.2333,0,1024212883,0,0,0,0,-3,0,0,4,5,1,409
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,576,4,Himmelsdorf,2017-01-11 01:57:07 UTC,428,1,1,false,23,Valence,16,Elevate,207,Lost,1024212936,6209,AMX 50 B,2,0,378,0,0,1,0,0,2173,1,2480,3,3,1,2100,18.7093,0,1024212878,0,0,0,0,0,0,0,6,7,1,326
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,576,4,Himmelsdorf,2017-01-11 01:57:07 UTC,428,1,1,false,23,Valence,16,Elevate,211,Statik,1024212937,13905,FV4005 Stage II,2,0,0,0,0,0,0,0,2035,0,2060,1,0,0,1850,4.07,0,1024212878,0,0,0,0,0,0,0,5,5,0,423
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,576,4,Himmelsdorf,2017-01-11 01:57:07 UTC,428,1,1,false,23,Valence,16,Elevate,208,GeeForcer,1024212938,5425,113,2,0,0,0,0,1,0,0,1135,3,2870,1,1,0,2300,13.97,0,1024212883,0,0,0,0,0,400,0,6,7,1,215
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,576,4,Himmelsdorf,2017-01-11 01:57:07 UTC,428,1,1,false,23,Valence,16,Elevate,210,Sp00ky,1024212940,5425,113,2,0,2200,137,701,3,0,0,1697,0,3350,7,7,5,2300,39.5783,0,1024212885,0,0,0,0,0,840,0,6,8,2,403
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,576,4,Himmelsdorf,2017-01-11 01:57:07 UTC,428,1,1,false,23,Valence,16,Elevate,216,zonedelta94,1024212941,2177,Emil II,2,1,1112,0,0,2,0,0,1508,1,2380,4,4,3,1700,28.9089,0,1024212883,0,0,0,0,0,390,0,5,6,1,363
22,2017-01-11 01:30:00 UTC,89,2017-01-11 01:30:00 UTC,576,4,Himmelsdorf,2017-01-11 01:57:07 UTC,428,1,1,false,16,Elevate,23,Valence,159,External007,1024212878,6209,AMX 50 B,1,3,2547,0,0,5,0,1,2313,0,1400,13,9,8,977,61.9107,-1,,426,0,0,0,1123,400,0,3,5,2,428
